# /cmd_vel/recceipt_time, /cmd_vel/linear/x
1569260785.6602151394, 0.10191611038685130519
1569260786.601600647, 0
1569260787.0768988132, 0
1569260787.5700454712, 0
1569260789.9820299149, 0
1569260790.6157367229, 0
1569260791.842815876, 0.10191611038685130519
1569260794.3507192135, 0
1569260794.6836383343, 0
1569260795.7005836964, 0
1569260796.2084515095, 0.10191611038685130519
1569260813.5849084854, 0
1569260814.156293869, 0
1569260818.4392359257, 0
1569260819.1242580414, 0.10191611038685130519
1569260819.9717159271, 0
1569260820.6399533749, 0.10191611038685130519
1569260844.520329237, 0
1569260845.3184280396, 0
1569260850.0224978924, 0
1569260850.6213989258, 0.10191611038685130519
1569260851.9305920601, 0
1569260852.5916118622, 0
1569260853.6579115391, 0
1569260854.3798236847, 0.10191611038685130519
1569260856.1731109619, 0
1569260856.5025970936, 0
1569260857.648576498, 0
1569260858.1909167767, 0.10191611038685130519
1569260860.8961319923, 0
1569260861.3733155727, 0.10191611038685130519
1569260865.1803913116, 0
1569260865.6376011372, 0.10191611038685130519
1569260875.4695544243, 0
1569260876.0957715511, 0
1569260880.326084137, 0
1569260881.6884040833, 0.10191611038685130519
1569260882.4918954372, 0
1569260883.1383852959, 0
1569260883.7709281445, 0.10191611038685130519
1569260884.7863972187, 0
1569260885.055760622, 0.10191611038685130519
1569260908.0878427029, 0
1569260908.8506982327, 0
1569260912.7756044865, 0
